Link,Model,Price,Score,Brand,Year,Configuration,Strings,Made in,Series,Colors,Left-Handed Version,Type,Body Material,Bridge,Neck Joint,Tuners,Fretboard,Neck Material,Decoration,Scale Size,Shape,Thickness,Frets,Fretboard Radius,Nut,Nut Width,Switch,Knobs,Pickup Mods,Volume Controls,Tone Controls,Bridge Pickup,Stainless Steel Frets,Locking Tuners,Expensive Wood,Top Brand Pickups,Multi-Voicing Pickups,Made in South Korea,No High-Quality Nut,No Neck-Through Build,No Weight Relief,No Luminescent Inlay,No Tremolo,No Compound Radius Fretboard,No 21:1 Tuner Ratio,No Strap Lock,Scrape Date,Neck Pickup,Locking Nut,Neck-Through Build,Coil Split Pickups,Tremolo,Retainer Bar,Cheap Fret Wire (NS),No Locking Tuners,Made in Indonesia,Top,Compound Radius Fretboard,No Push Knob or Extra Switch Option,Luminescent Inlay,Bone Nut,"Coil Split, Coil Tap Pickups",Made in Japan,Stays in Tune (Evertune),Ivory Tusq Nut,Made in China,NuBone Nut,Middle Pickup,No Expensive Woods,No Retainer Bar,Parallel Split Pickups,No Top Brand Pickups,Coil Tap Pickups,Made in United States,Weight Relief,Synthetic Bone Nut,Series Split Pickups,"Coil Split, Phase Out Pickups",Made in Mexico,S-1 Switch Pickups,Tri-Sound Pickups,"Parallel Split, Phase Out, Series Split Pickups","Parallel Split, Series Split Pickups",Black Tusq XL Nut,Strap Lock,Nylon Nut,PRS Propietary Nut,Sustainer Pickups,Gold Frets,"Coil Split, Multi-Voicing Pickups",Killswitch Pickups,Boost Pickups,Varitone Pickups,Compensated Nut,"Killswitch, Sustainer Pickups",Boneite Nut,"Killswitch, Phase Out Pickups",Phase Out Pickups,"Coil Split, Capacitance Selector Pickups","Coil Tap, Boost Pickups",Made in India,High-Pass Filter Pickups,"Multi-Voicing, Sustainer Pickups",Half-Bone/Half-Brass Nut,Made in Vietnam,"Coil Split, Killswitch Pickups","Multi-Voicing, Gain Reduction Pickups","Coil Split, Boost Pickups","Coil Tap, Phase Out Pickups"
https://findmyguitar.com/reviews/ESP-LTD-XJ-1-HT-review.php,ESP LTD XJ-1 HT,"$1,499",7.4,ESP LTD,2024,H,6,South Korea,XJ,Black,No,Solid Body,Swamp Ash,Hipshot w/ String Thru,Bolt-On,LTD Locking,Macassar Ebony,3Pc Roasted Maple,Blocks,"25.5""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),22 XL Jumbo Stainless Steel,"13.78""",Plastic,42mm (1.654''),0 Way,Dome,Multi-Voicing,1,0,Fishman Fluence Open Core Classic Humbucker Black *(Pull Volume for Voice 3) (Humbucker / Active),True,True,True,True,True,False,False,False,False,False,False,False,False,False,2024-02-07 16:24:20.638802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-Horizon-Custom-87-review.php,ESP LTD Horizon Custom '87,"$1,499",7.5,ESP LTD,2024,HS,6,Indonesia,’87,"White, Black, Red",No,Solid Body,Alder,Floyd Rose 1000,Neck-Through,LTD,Macassar Ebony,3pc Maple,,"25.5""",Extra Thin U,1st Fret: 0.748'' (19mm) - 12th Fret: 0.827'' (21mm),24 XL Jumbo,"13.78""",Locking,42mm (1.654''),3 Way,Dome,Coil Split,1,1,Seymour Duncan Custom *(Pull Tone for Split) (Humbucker / Passive),,,True,True,,,,,False,False,,False,False,False,2024-02-07 16:24:27.688991,Seymour Duncan Hotrail *(Pull Tone for Split) (Humbucker / Passive),True,True,True,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-Phoenix-1001-review.php,ESP LTD Phoenix-1001,"$1,299",7.4,ESP LTD,2024,H,6,Indonesia,Phoenix,Sunburst,No,Solid Body,Mahogany,Tonepros Locking TOM & Tailpiece,Neck-Through,LTD Locking,Macassar Ebony,3Pc Mahogany,Flags,"25.5""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),22 XL Jumbo Stainless Steel,"13.78""",Plastic,42mm (1.654''),0 Way,Dome,Coil Split,1,0,Seymour Duncan Custom 14 (ESP Exclusive) (Humbucker / Passive),True,True,True,True,,,False,,False,False,False,False,False,False,2024-02-07 16:24:36.270395,,,True,True,,,,,False,Quilted Maple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-EC-01FT-review.php,ESP LTD EC-01FT,"$1,099",7.3,ESP LTD,2024,H,6,Indonesia,EC,"White, Black, Burst",No,Solid Body,Mahogany,Recessed TOM w/ String Thru,Set,LTD Locking,Macassar Ebony,3Pc Mahogany,Blocks,"24.75""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),22 XL Jumbo Stainless Steel,"13.78""",Plastic,43mm (1.693''),0 Way,Dome,Coil Split,1,0,Seymour Duncan Custom 14 (ESP Exclusive) (Humbucker / Passive),True,True,True,True,,,False,False,False,False,False,False,False,False,2024-02-07 16:24:47.309710,,,,True,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-EC-201FT-review.php,ESP LTD EC-201FT,$499,6.8,ESP LTD,2024,H,6,Indonesia,EC,"Black, Red",No,Solid Body,Mahogany,TOM w/ String Thru,Set,LTD,Roasted Jatoba,3Pc Mahogany,Blocks,"24.75""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),22 XL Jumbo,"13.78""",Plastic,43mm (1.693''),0 Way,Dome,Coil Split,1,0,ESP LH-150B *(Pull Volume for Split) (Humbucker / Passive),,,True,True,,,False,False,False,False,False,False,False,False,2024-02-07 16:24:54.851491,,,,True,,,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-EC-1007-Baritone-Evertune-review.php,ESP LTD EC-1007 Baritone Evertune,"$1,399",7.4,ESP LTD,2024,HH,7,South Korea,EC,Black,No,Solid Body,Mahogany w/ Maple Cap,Evertune (F model) w/ Gold Saddles,Set,LTD Locking,Macassar Ebony,3Pc Mahogany,Flags,"27""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),24 XL Jumbo Stainless Steel,"12"" to 16""",Plastic,48mm (1.89''),3 Way,Dome,Multi-Voicing,2,1,Fishman Fluence Modern Humbucker Ceramic Gold 7 String *(Pull Tone for Voice 2) (Humbucker / Active),True,True,True,True,True,False,False,False,False,False,False,,False,False,2024-02-07 16:25:02.789218,Fishman Fluence Modern Humbucker Alnico Gold 7 String *(Pull Tone for Voice 2) (Humbucker / Active),,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-TED-EC-review.php,ESP LTD TED-EC,"$1,699",7.6,ESP LTD,2024,HH,6,South Korea,Artist,Black,No,Solid Body,Mahogany w/ Maple Cap,Recessed Gotoh TOM w/ String Thru,Neck-Through,LTD Locking (Pearloid Buttons),Macassar Ebony,3Pc Mahogany,Dots,"24.75""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),24 XL Jumbo,"13.78""",Plastic,42mm (1.654''),3 Way,Speed,,1,0,EMG 81 White (Humbucker / Active),,True,True,True,,False,False,,False,False,False,False,False,False,2024-02-07 16:25:10.200809,EMG 60 White (Humbucker / Active),,True,,,,False,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-MK-EC-FR-review.php,ESP LTD MK EC-FR,"$1,700",7.8,ESP LTD,2024,HH,6,South Korea,Artist,Black,No,Solid Body,Alder,Floyd Rose 1000SE,Neck-Through,Grover,Macassar Ebony,3pc Maple,Dots,"25.5""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),24 XL Jumbo Stainless Steel,"12""",Locking,42mm (1.654''),3 Way,Dome,,1,0,EMG 81X Brushed Black Chrome Direct Mount (Humbucker / Active),True,,True,True,,False,,,False,,,False,False,False,2024-02-07 16:25:17.821400,EMG 85X Brushed Black Chrome Direct Mount (Humbucker / Active),True,True,,True,True,,False,,,,False,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-EC-256QM-review.php,ESP LTD EC-256QM,$599,6.9,ESP LTD,2024,HH,6,Indonesia,EC,Burst,No,Solid Body,Mahogany,TOM & Tailpiece,Set,LTD,Roasted Jatoba,3Pc Mahogany,Flags,"24.75""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),22 XL Jumbo,"13.78""",Plastic,42mm (1.654''),3 Way,Speed,,2,1,ESP LH-150B (Humbucker / Passive),,,True,True,,,False,False,False,False,False,False,False,False,2024-02-07 16:25:25.779269,ESP LH-150N (Humbucker / Passive),,,,,,False,False,False,Quilted Maple,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-Royal-Shiva-review.php,ESP LTD Royal Shiva,"$1,999",7.5,ESP LTD,2024,HH,6,South Korea,Artist,Burst,No,Solid Body,Mahogany w/ Maple Cap,Tonepros Locking TOM & Tailpiece,Set,LTD Locking,Macassar Ebony,3Pc Mahogany,Blocks,"25""",U,,22 XL Jumbo,"12""",Bone,43mm (1.693''),3 Way,Dome,"Coil Split, Coil Tap",1,1,MojoTone Hell Bender Neck w/ Nickel Cover *(Pull Volume for Split) (Humbucker / Passive),,True,True,True,,False,,False,False,False,False,False,False,False,2024-02-07 16:25:34.431036,MojoTone Hell Bender Neck w/ Nickel Cover *(Pull Tone for Split) (Humbucker / Passive),,,,,,False,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-SN-1-HT-Baritone-review.php,ESP LTD SN-1 HT Baritone,"$1,499",7.7,ESP LTD,2024,H,6,South Korea,SN,Black,No,Solid Body,Swamp Ash,Hipshot w/ String Thru,Bolt-On,LTD Locking,Macassar Ebony,5Pc Roasted Maple / Purple Heart,Dots,"27""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),22 XL Jumbo Stainless Steel,"12"" to 16""",Bone,42mm (1.654''),0 Way,Dome,Multi-Voicing,1,0,Fishman Modern Ceramic Brushed Stainless *(Pull Volume for Voice 2) (Humbucker / Active),True,True,True,True,True,False,,False,False,False,False,,False,False,2024-02-07 16:25:42.526212,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-GL-Desert-Eagle-review.php,ESP LTD GL Desert Eagle,"$1,699",7.4,ESP LTD,2024,HS,6,South Korea,Artist,Black,No,Solid Body,Alder,Floyd Rose 1000SE,Bolt-On,LTD,Macassar Ebony,Maple,Dots,"25.5""",GL Original U,,22 XL Jumbo Stainless Steel,"12""",Locking,43mm (1.693''),0 Way,Dome,Coil Split,1,0,Seymour Duncan Distortion (Humbucker / Passive),True,,True,True,,False,,False,False,False,,False,False,False,2024-02-07 16:25:50.549182,ESP SS-120 (Single Coil / Passive),True,,True,True,True,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-M-1007-Baritone-review.php,ESP LTD M-1007 Baritone,"$1,599",7.7,ESP LTD,2024,HH,7,South Korea,M,Black,No,Solid Body,Alder,Floyd Rose 1000SE,Set,Grover,Macassar Ebony,3pc Maple,Offset Dots,"27""",Extra Thin U,1st Fret: 0.748'' (19mm) - 12th Fret: 0.827'' (21mm),24 XL Jumbo Stainless Steel,"12"" to 16""",Locking,48mm (1.89''),3 Way,Dome,Multi-Voicing,1,1,Fishman Fluence Modern Humbucker Ceramic Black Nickel *(Pull Tone for Voice 2) Direct-Mount (Humbucker / Active),True,,True,True,True,False,,False,False,False,,,False,False,2024-02-07 16:25:58.310615,Fishman Fluence Modern Humbucker Alnico Black Nickel *(Pull Tone for Voice 2) Direct-Mount (Humbucker / Active),True,,,True,True,,False,,Quilted Maple,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-M-1001-review.php,ESP LTD M-1001,"$1,399",7.6,ESP LTD,2024,H,6,South Korea,M,Black,No,Solid Body,Alder,Floyd Rose 1000,Bolt-On,Grover,Macassar Ebony,3pc Maple,Offset Dots,"25.5""",Extra Thin U,1st Fret: 0.748'' (19mm) - 12th Fret: 0.827'' (21mm),24 XL Jumbo Stainless Steel,"12"" to 16""",Locking,43mm (1.693''),0 Way,Dome,Multi-Voicing,1,0,Fishman Fluence Modern Humbucker Ceramic Gold *(Pull Volume for Voice 2) Direct-Mount (Humbucker / Active),True,,True,True,True,False,,False,False,False,,,False,False,2024-02-07 16:26:06.179173,,True,,,True,True,,False,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-GH-SV-200-review.php,ESP LTD GH SV-200,$799,7.6,ESP LTD,2024,HH,6,Indonesia,Artist,Black,No,Solid Body,Mahogany,Floyd Rose Special,Bolt-On,LTD,Roasted Jatoba,3Pc Mahogany,Blocks,"24.75""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),22 XL Jumbo Stainless Steel,"13.78""",Locking,42mm (1.654''),3 Way,Dome,Coil Split,2,0,ESP LH-301B Red Direct Mount (Humbucker / Passive),True,,True,True,,,,False,False,False,,False,False,False,2024-02-07 16:26:13.649149,ESP LH-301N Red Direct Mount *(Pull Neck Volume for Split) (Humbucker / Passive),True,,True,True,True,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://findmyguitar.com/reviews/ESP-LTD-SN-1000-Evertune-Koa-review.php,ESP LTD SN-1000 Evertune Koa,"$1,689",7.8,ESP LTD,2024,HH,6,Japan,SN,Natural,No,Solid Body,Mahogany,Evertune (F model),Bolt-On,Grover,Macassar Ebony,Maple,Dots,"25.5""",Thin U,1st Fret: 0.787'' (20mm) - 12th Fret: 0.866'' (22mm),22 XL Jumbo Stainless Steel,"12"" to 16""",Plastic,42mm (1.654''),5 Way,Dome,Coil Split,1,1,Seymour Duncan Custom 14 (ESP Exclusive) (Humbucker / Passive),True,,True,True,,,False,False,False,False,False,,False,False,2024-02-07 16:26:21.194087,Seymour Duncan APH-1N (Humbucker / Passive),,,True,,,,False,,Koa,True,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
